model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",6426.6198,6.4266,0.02036071,6426.9263,0.1688,0.0644,0.1608,0.3818,0.3695,0.6079,215.4176,128.7132,0.1688,0.6282,0.1608,8.5558,185.5923,13.6232,161.9943,63.003
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",6452.6214,6.4526,0.01969147,6452.9149,0.1538,0.067,0.1493,0.3816,0.3746,0.612,206.7255,123.4427,0.1538,0.6407,0.1493,8.5523,188.1414,13.7165,168.1838,62.1863
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",6530.243,6.5302,0.02137327,6530.5722,0.1486,0.0681,0.1419,0.3823,0.3778,0.6147,208.0487,125.488,0.1486,0.6347,0.1419,8.5677,189.7721,13.7758,165.6838,62.2322
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",6464.8143,6.4648,0.02292919,6465.1804,0.1476,0.0681,0.1393,0.3884,0.379,0.6156,164.9476,132.4952,0.1476,0.6532,0.1393,8.7039,190.3482,13.7967,168.0314,62.6893
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",3309.4955,3.3095,0.00919795,3309.7989,0.1529,0.0667,0.1476,0.3791,0.3753,0.6127,206.2788,121.5789,0.1529,0.6308,0.1476,8.4968,188.5206,13.7303,170.3865,61.4954
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",2951.7567,2.9518,0.00974441,2951.9827,0.153,0.0669,0.1466,0.3806,0.3757,0.613,208.1081,123.6902,0.153,0.6288,0.1466,8.5304,188.721,13.7376,155.996,61.9246
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",2977.2252,2.9772,0.00949121,2977.4753,0.1337,0.0672,0.1271,0.3866,0.3844,0.62,198.783,130.392,0.1337,0.638,0.1271,8.6639,193.0498,13.8942,162.0176,63.3054
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",2999.0428,2.999,0.00977969,2999.3136,0.1465,0.0674,0.14,0.3825,0.3787,0.6154,208.7292,127.7142,0.1465,0.6256,0.14,8.5727,190.1853,13.7908,156.697,61.9432
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",3012.1419,3.0121,0.01006699,3012.4345,0.1458,0.0642,0.1188,0.4109,0.388,0.6229,176.2261,148.7542,0.1458,0.6069,0.1188,9.2083,194.8703,13.9596,140.927,68.8265
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",3041.5747,3.0416,0.0096519,3041.9376,0.1478,0.068,0.1416,0.3818,0.3779,0.6148,208.4792,123.8463,0.1478,0.6308,0.1416,8.5556,189.8283,13.7778,160.47,61.5803
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",3061.0383,3.061,0.01004982,3061.3766,0.1522,0.0661,0.1487,0.3743,0.3748,0.6122,187.5983,128.4215,0.1522,0.6447,0.1487,8.3889,188.2684,13.7211,152.719,60.5306
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",3078.0566,3.0781,0.00986719,3078.4171,0.1447,0.0676,0.1373,0.383,0.3799,0.6163,197.3991,125.3888,0.1447,0.63,0.1373,8.5846,190.7908,13.8127,161.3795,61.9741
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",3110.0131,3.11,0.00943732,3110.4042,0.1513,0.067,0.1454,0.3854,0.3763,0.6134,169.166,132.3767,0.1513,0.6276,0.1454,8.6381,188.9905,13.7474,160.6037,62.018
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",3459.0646,3.4591,0.00997138,3459.4809,0.1433,0.0658,0.1299,0.3954,0.3831,0.6189,205.8689,135.4391,0.1433,0.6185,0.1299,8.8624,192.4142,13.8713,153.8671,66.234
"WOA_LSTM-sliding_3-hs_([10], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_100",5719.1409,5.7191,0.02925348,5719.6183,0.1402,0.0676,0.1323,0.3858,0.382,0.6181,210.5668,127.0132,0.1402,0.6497,0.1323,8.6453,191.8888,13.8524,165.2939,62.5599
