model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5421.5089,5.4215,0.03287411,5421.8528,0.2757,0.0017,0.2695,0.0294,0.0022,0.0468,inf,109.8529,0.2757,1.5535,0.2695,7.9862,161.6013,12.7122,inf,109.8529
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5531.4701,5.5315,0.04617047,5531.8956,0.2681,0.0017,0.2648,0.0289,0.0022,0.047,inf,109.2604,0.2681,1.4306,0.2648,7.8291,162.6481,12.7534,inf,109.2604
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5609.5257,5.6095,0.02175975,5609.9421,0.2718,0.0017,0.2668,0.0291,0.0022,0.0469,inf,109.4924,0.2718,1.4667,0.2668,7.9073,162.1929,12.7355,inf,109.4924
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5617.7438,5.6177,0.05197954,5617.9974,0.26,0.0017,0.2557,0.0291,0.0022,0.0473,inf,109.4493,0.26,1.4469,0.2557,7.9003,164.6399,12.8312,inf,109.4493
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5595.7659,5.5958,0.03661585,5596.0039,0.2645,0.0017,0.2605,0.0291,0.0022,0.0471,inf,109.5303,0.2645,1.4858,0.2605,7.885,163.5969,12.7905,inf,109.5303
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5658.4342,5.6584,0.05703211,5658.7038,0.2687,0.0017,0.2667,0.0287,0.0022,0.0469,inf,109.2507,0.2687,1.4318,0.2667,7.7887,162.21,12.7362,inf,109.2507
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5632.3413,5.6323,0.02269697,5632.6954,0.2746,0.0017,0.2696,0.0292,0.0022,0.0468,inf,109.5837,0.2746,1.4911,0.2696,7.9172,161.5649,12.7108,inf,109.5837
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5755.6114,5.7556,0.03376031,5756.0238,0.2645,0.0017,0.2623,0.0289,0.0022,0.0471,inf,109.3132,0.2645,1.4397,0.2623,7.8408,163.1935,12.7747,inf,109.3132
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5702.3262,5.7023,0.0517199,5702.5727,0.2667,0.0017,0.261,0.0295,0.0022,0.0471,inf,109.7967,0.2667,1.5552,0.261,7.9982,163.468,12.7855,inf,109.7967
"WVO_LSTM-hs_([7], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",5361.9582,5.362,0.03835893,5362.2318,0.2684,0.0017,0.2647,0.0291,0.0022,0.047,inf,109.4695,0.2684,1.4774,0.2647,7.884,162.6592,12.7538,inf,109.4695
