model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",10927.0424,10.927,0.08400893,10927.528,0.2765,0.0017,0.2584,0.0309,0.0022,0.0472,inf,111.0791,0.2765,1.7489,0.2584,8.3932,164.0475,12.8081,inf,111.0791
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",10816.2794,10.8163,0.04973316,10816.6886,0.2774,0.0017,0.2763,0.0285,0.0022,0.0466,inf,109.2837,0.2774,1.4666,0.2763,7.7312,160.1028,12.6532,inf,109.2837
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",11103.7885,11.1038,0.05968714,11104.1854,0.2651,0.0017,0.2553,0.0299,0.0022,0.0473,inf,110.236,0.2651,1.5888,0.2553,8.1243,164.7396,12.8351,inf,110.236
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",11232.8742,11.2329,0.05049586,11233.3787,0.2702,0.0017,0.2591,0.03,0.0022,0.0472,inf,110.1891,0.2702,1.5639,0.2591,8.1323,163.8906,12.802,inf,110.1891
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",11385.738,11.3857,0.06576705,11386.2018,0.2739,0.0017,0.2655,0.03,0.0022,0.047,inf,110.4254,0.2739,1.657,0.2655,8.1359,162.4721,12.7465,inf,110.4254
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",11169.8643,11.1699,0.05160499,11170.1973,0.2758,0.0017,0.2733,0.0287,0.0022,0.0467,inf,109.2417,0.2758,1.4412,0.2733,7.7928,160.7517,12.6788,inf,109.2417
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",11160.3538,11.1604,0.05974603,11160.7757,0.2706,0.0018,0.2492,0.0311,0.0023,0.0475,inf,110.942,0.2706,1.7181,0.2492,8.4289,166.0881,12.8875,inf,110.942
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",10882.2378,10.8822,0.05577874,10882.7239,0.2779,0.0017,0.2761,0.0286,0.0022,0.0466,inf,109.3302,0.2779,1.4647,0.2761,7.7679,160.1441,12.6548,inf,109.3302
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",10979.4627,10.9795,0.06724191,10979.8602,0.275,0.0017,0.2743,0.0274,0.0022,0.0467,inf,108.4109,0.275,1.2971,0.2743,7.4226,160.5362,12.6703,inf,108.4109
"HGSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-nc_2",9124.1738,9.1242,0.06773663,9124.4928,0.2735,0.0017,0.2691,0.0268,0.0022,0.0469,inf,108.5055,0.2735,1.2293,0.2691,7.2667,161.6929,12.7159,inf,108.5055
