model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",46.7092,0.0467,0.00033283,46.718,0.1759,0.0042,0.0969,0.0532,0.0054,0.0737,inf,76.3186,0.1759,0.7961,0.0969,5.6632,61.5314,7.8442,inf,76.3186
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",48.7155,0.0487,0.00034428,48.7248,0.2036,0.0041,0.1163,0.0522,0.0053,0.0729,inf,75.5553,0.2036,0.8055,0.1163,5.5602,60.2117,7.7596,inf,75.5553
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",45.864,0.0459,0.00025296,45.8754,0.2132,0.0041,0.1128,0.0534,0.0053,0.0731,inf,76.5696,0.2132,0.8628,0.1128,5.6814,60.4482,7.7748,inf,76.5696
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",45.7992,0.0458,0.00023437,45.8078,0.2123,0.0041,0.1121,0.0534,0.0053,0.0731,inf,76.5824,0.2123,0.8626,0.1121,5.6835,60.4961,7.7779,inf,76.5824
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",46.4664,0.0465,0.00025296,46.4751,0.2134,0.004,0.1253,0.0526,0.0053,0.0725,inf,76.4431,0.2134,0.7838,0.1253,5.6021,59.5983,7.72,inf,76.4431
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",48.7958,0.0488,0.00040293,48.8046,0.2018,0.0041,0.1176,0.053,0.0053,0.0729,inf,76.6176,0.2018,0.8258,0.1176,5.6395,60.1254,7.7541,inf,76.6176
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",46.3418,0.0463,0.00036287,46.3502,0.2123,0.0041,0.1122,0.0534,0.0053,0.0731,inf,76.5758,0.2123,0.8626,0.1122,5.6828,60.4944,7.7778,inf,76.5758
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",48.4034,0.0484,0.00030398,48.4117,-0.0044,0.0054,-0.1722,0.0639,0.0071,0.084,inf,83.7485,-0.0044,1.0726,-0.1722,6.7986,79.8734,8.9372,inf,83.7485
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",40.7006,0.0407,0.0005281,40.7262,0.212,0.0041,0.1119,0.0534,0.0053,0.0731,inf,76.5925,0.212,0.8625,0.1119,5.6847,60.515,7.7791,inf,76.5925
"EO_MLP-hs_(15, True)-ac_('elu', 'elu')--ep_1000-ps_50",37.7872,0.0378,0.00021887,37.7957,0.2122,0.0041,0.1121,0.0534,0.0053,0.0731,inf,76.5814,0.2122,0.8626,0.1121,5.6833,60.4962,7.7779,inf,76.5814
