model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
DeMlp-run_0-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,105.1652,0.1052,0.00060177,105.2394,0.2628,0.0017,0.2548,0.0297,0.0022,0.0473,inf,110.1269,0.2628,1.5251,0.2548,8.0675,164.8552,12.8396,inf,110.1269
DeMlp-run_1-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,103.0628,0.1031,0.00048733,103.1216,0.2317,0.0018,0.2291,0.0294,0.0023,0.0481,inf,109.539,0.2317,1.4563,0.2291,7.9832,170.5327,13.0588,inf,109.539
DeMlp-run_2-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,107.7544,0.1078,0.00048828,107.813,0.2456,0.0018,0.2342,0.0303,0.0023,0.048,inf,110.0667,0.2456,1.5654,0.2342,8.2308,169.4168,13.016,inf,110.0667
DeMlp-run_3-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,105.7179,0.1057,0.0010941,105.8121,0.2593,0.0017,0.2583,0.0284,0.0022,0.0472,inf,109.2203,0.2593,1.4304,0.2583,7.7203,164.0831,12.8095,inf,109.2203
DeMlp-run_4-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,107.6398,0.1076,0.00055027,107.7057,0.2559,0.0018,0.25,0.0295,0.0023,0.0475,inf,109.6805,0.2559,1.4834,0.25,7.9924,165.9045,12.8804,inf,109.6805
DeMlp-run_5-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,100.0623,0.1001,0.00051498,100.1478,0.2596,0.0018,0.2265,0.0275,0.0023,0.0482,inf,129.76,0.2596,1.4779,0.2265,7.4646,171.1067,13.0808,inf,129.76
DeMlp-run_6-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,98.7597,0.0988,0.0005827,98.8259,0.2678,0.0017,0.2652,0.0271,0.0022,0.047,inf,108.6178,0.2678,1.2417,0.2652,7.3573,162.5395,12.7491,inf,108.6178
DeMlp-run_7-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,97.8957,0.0979,0.00056577,97.9543,0.2441,0.0017,0.2438,0.0286,0.0023,0.0477,inf,109.4254,0.2441,1.4663,0.2438,7.7621,167.2904,12.9341,inf,109.4254
DeMlp-run_8-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,82.3268,0.0823,0.00059319,82.3828,0.2442,0.0018,0.2391,0.03,0.0023,0.0478,inf,110.4035,0.2442,1.6884,0.2391,8.1426,168.332,12.9743,inf,110.4035
DeMlp-run_9-hs_7True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,84.0486,0.084,0.00050497,84.1107,0.249,0.0018,0.2347,0.0305,0.0023,0.0479,inf,110.3396,0.249,1.5679,0.2347,8.2794,169.3035,13.0117,inf,110.3396
,,,,,,,,,,,,,,,,,,,,
,EV,,,mae,,,rmse,,,,,min,0.2317,1.2417,0.2265,7.3573,162.5395,12.7491,0,108.6178
best,mean,std,best,mean,std,best,mean,std,,,,max,0.2678,1.6884,0.2652,8.2794,171.1067,13.0808,0,129.76
0.268,0.252,0.011,7.357,7.9,0.315,12.749,12.935,0.112,,,,mean,0.252,1.49028,0.24357,7.90002,167.33644,12.93543,#DIV/0!,111.71797
,,,,,,,,,,,,std,0.010943491,0.115200191,0.01307908,0.314668954,2.894885898,0.112033131,#DIV/0!,6.363133916
,,,,,,,,,,,,cv,0.043426552,0.077301038,0.053697418,0.039831412,0.017299794,0.008660951,#DIV/0!,0.056957121
