model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LSTM-1HL-Lstm1HL-run_0-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",286.2168,0.2862,0.69076514,287.0247,0.2741,0.0017,0.2518,0.0313,0.0022,0.0474,inf,111.3432,0.2741,1.7788,0.2518,8.4944,165.5027,12.8648,inf,111.3432
"LSTM-1HL-Lstm1HL-run_1-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",298.2117,0.2982,0.69245577,299.1386,0.2742,0.0017,0.2657,0.0299,0.0022,0.047,inf,110.277,0.2742,1.6202,0.2657,8.1078,162.4275,12.7447,inf,110.277
"LSTM-1HL-Lstm1HL-run_2-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",308.2121,0.3082,0.77396297,309.1048,0.2729,0.0017,0.269,0.0293,0.0022,0.0469,inf,109.9043,0.2729,1.5634,0.269,7.9493,161.7118,12.7166,inf,109.9043
"LSTM-1HL-Lstm1HL-run_3-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",297.1165,0.2971,0.72661042,298.0182,0.2749,0.0018,0.2316,0.0329,0.0023,0.048,inf,112.5856,0.2749,1.9314,0.2316,8.9259,169.9826,13.0377,inf,112.5856
"LSTM-1HL-Lstm1HL-run_4-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",175.7314,0.1757,0.25781417,176.0519,0.2751,0.0018,0.252,0.0313,0.0022,0.0474,inf,111.3223,0.2751,1.775,0.252,8.4998,165.4777,12.8638,inf,111.3223
"LSTM-1HL-Lstm1HL-run_5-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",168.2215,0.1682,0.27405071,168.5515,0.274,0.0017,0.2682,0.0267,0.0022,0.0469,inf,108.2024,0.274,1.2378,0.2682,7.2443,161.8806,12.7232,inf,108.2024
"LSTM-1HL-Lstm1HL-run_6-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",170.5582,0.1706,0.27752233,170.8945,0.2745,0.0017,0.2733,0.0286,0.0022,0.0467,inf,109.4012,0.2745,1.4769,0.2733,7.7675,160.7523,12.6788,inf,109.4012
"LSTM-1HL-Lstm1HL-run_7-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",163.6067,0.1636,0.30848742,163.9677,0.2753,0.0017,0.2638,0.0302,0.0022,0.047,inf,110.4859,0.2753,1.6522,0.2638,8.1922,162.8509,12.7613,inf,110.4859
"LSTM-1HL-Lstm1HL-run_8-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",167.7883,0.1678,0.26129746,168.1083,0.2745,0.0017,0.2739,0.0275,0.0022,0.0467,inf,108.6541,0.2745,1.3467,0.2739,7.4664,160.6336,12.6741,inf,108.6541
"LSTM-1HL-Lstm1HL-run_9-hs_(20, True)-ep_1000-bs_64-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",180.4086,0.1804,0.26332974,180.7636,0.2732,0.0017,0.2732,0.0281,0.0022,0.0467,inf,109.0581,0.2732,1.4192,0.2732,7.6131,160.7886,12.6802,inf,109.0581
,,,,,,,,,,,,,,,,,,,,
,ev,,,mae,,,rmse,,,,,,ev,,,mae,,rmse,,
mean,std,cv,mean,std,cv,mean,std,cv,,,,mean,0.27427,1.58016,0.26225,8.02607,163.20083,12.77452,,
0.274,0.001,0.003,8.026,0.522,0.065,12.775,0.116,0.009,,,,std,0.000773233,0.215031926,0.013444061,0.522325701,2.973226405,0.115748931,,
,,,,,,,,,,,,cv,0.002819239,0.136082375,0.051264294,0.065078638,0.018218206,0.009060922,,
