model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
WdoMlp-run_0-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,86.2857,0.0863,0.00054502,86.3498,0.2673,0.0017,0.2652,0.0291,0.0022,0.047,inf,109.7695,0.2673,1.5492,0.2652,7.9031,162.5559,12.7497,inf,109.7695
WdoMlp-run_1-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,89.8585,0.0899,0.00054336,89.96,0.2739,0.0017,0.2715,0.029,0.0022,0.0468,inf,109.664,0.2739,1.536,0.2715,7.8681,161.1529,12.6946,inf,109.664
WdoMlp-run_2-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,91.9722,0.092,0.00054026,92.0292,0.2735,0.0017,0.2712,0.029,0.0022,0.0468,inf,109.7805,0.2735,1.558,0.2712,7.8805,161.2276,12.6975,inf,109.7805
WdoMlp-run_3-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,90.6512,0.0907,0.0005393,90.7079,0.2744,0.0017,0.265,0.0301,0.0022,0.047,inf,110.5345,0.2744,1.6773,0.265,8.1714,162.5862,12.7509,inf,110.5345
WdoMlp-run_4-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,91.9933,0.092,0.00053954,92.0547,0.2745,0.0017,0.2708,0.0292,0.0022,0.0468,inf,109.7638,0.2745,1.5484,0.2708,7.9242,161.3191,12.7011,inf,109.7638
WdoMlp-run_5-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,88.9651,0.089,0.00054049,89.0662,0.2632,0.0017,0.2615,0.029,0.0022,0.0471,inf,109.6993,0.2632,1.5315,0.2615,7.8792,163.3699,12.7816,inf,109.6993
WdoMlp-run_6-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,90.7164,0.0907,0.0005126,90.8343,0.274,0.0017,0.2698,0.0293,0.0022,0.0468,inf,109.9454,0.274,1.5845,0.2698,7.9619,161.5284,12.7094,inf,109.9454
WdoMlp-run_7-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,87.3372,0.0873,0.00051427,87.4251,0.274,0.0017,0.2705,0.0293,0.0022,0.0468,inf,109.9364,0.274,1.5862,0.2705,7.9449,161.3832,12.7037,inf,109.9364
WdoMlp-run_8-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,90.4608,0.0905,0.00055909,90.5171,0.2522,0.0018,0.2392,0.0309,0.0023,0.0478,inf,111.2581,0.2522,1.7689,0.2392,8.3881,168.3073,12.9733,inf,111.2581
WdoMlp-run_9-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,73.4772,0.0735,0.0005877,73.5464,0.2783,0.0017,0.2706,0.0295,0.0022,0.0468,inf,109.947,0.2783,1.5501,0.2706,8.0127,161.3606,12.7028,inf,109.947
,,,,,,,,,,,,,,,,,,,,
,EV,,,mae,,,rmse,,,,,min,0.2522,1.5315,0.2392,7.8681,161.1529,12.6946,0,109.664
best,mean,std,best,mean,std,best,mean,std,,,,max,0.2783,1.7689,0.2715,8.3881,168.3073,12.9733,0,111.2581
0.278,0.271,0.008,7.868,7.993,0.165,12.695,12.746,0.085,,,,mean,0.27053,1.58901,0.26553,7.99341,162.47911,12.74646,#DIV/0!,110.02985
,,,,,,,,,,,,std,0.007713776,0.076019624,0.009855066,0.165200198,2.180859585,0.084966362,#DIV/0!,0.497755873
,,,,,,,,,,,,cv,0.028513568,0.047840872,0.0371147,0.020667049,0.0134224,0.006665879,#DIV/0!,0.004523826
