model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",105.3744,0.1054,0.0006299,105.4382,0.1168,0.0676,0.1138,0.3846,0.3902,0.6247,233.039,120.5696,0.1168,0.6496,0.1138,8.6188,195.9942,13.9998,155.304,64.9519
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",97.9919,0.098,0.00061798,98.0614,0.1028,0.0682,0.0926,0.393,0.3995,0.6321,178.4497,130.154,0.1028,0.6514,0.0926,8.8073,200.6696,14.1658,157.336,66.1227
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",98.2636,0.0983,0.0005939,98.3333,0.1448,0.0669,0.1251,0.4057,0.3852,0.6207,206.607,133.8007,0.1448,0.6231,0.1251,9.0916,193.4899,13.9101,155.6019,68.3168
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",99.8679,0.0999,0.00065184,99.9412,0.1335,0.0665,0.132,0.3818,0.3822,0.6182,267.097,116.3077,0.1335,0.632,0.132,8.5566,191.959,13.8549,158.7279,63.1233
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",99.3974,0.0994,0.00066495,99.473,0.1334,0.0667,0.133,0.3627,0.3817,0.6178,265.1995,113.1693,0.1334,0.6485,0.133,8.1296,191.7293,13.8466,165.5139,59.0
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",99.0671,0.0991,0.00072265,99.1443,0.075,0.0742,0.0748,0.3843,0.4074,0.6383,350.4475,104.7196,0.075,0.7179,0.0748,8.6119,204.6042,14.304,185.9891,64.5646
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",99.7115,0.0997,0.00090408,99.7838,0.1277,0.0655,0.1092,0.4059,0.3922,0.6263,230.2167,137.0286,0.1277,0.6295,0.1092,9.0975,196.9956,14.0355,153.348,68.7553
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",99.532,0.0995,0.00060749,99.6025,0.1284,0.0687,0.1255,0.3608,0.3851,0.6205,250.4627,110.266,0.1284,0.6261,0.1255,8.0849,193.4063,13.9071,187.9415,56.875
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",99.3604,0.0994,0.00065565,99.4296,0.1313,0.0682,0.1238,0.3918,0.3858,0.6211,199.2178,129.6249,0.1313,0.6533,0.1238,8.7807,193.7654,13.92,157.7545,64.1665
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",99.4944,0.0995,0.00063324,99.5677,0.138,0.0657,0.1204,0.4013,0.3873,0.6223,155.9785,143.0908,0.138,0.6428,0.1204,8.9927,194.5345,13.9476,145.3574,67.1281
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",99.1503,0.0992,0.00060391,99.2212,0.0806,0.0716,0.0806,0.3834,0.4048,0.6363,251.3692,122.6951,0.0806,0.6526,0.0806,8.5935,203.3343,14.2595,183.3824,61.1164
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",98.2585,0.0983,0.00061727,98.3279,0.0728,0.072,0.0728,0.3778,0.4083,0.6389,213.8873,118.0639,0.0728,0.6705,0.0728,8.466,205.0516,14.3196,153.2338,59.8681
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",105.5738,0.1056,0.0005641,105.6407,0.1104,0.0687,0.0993,0.4005,0.3966,0.6298,195.6639,134.1791,0.1104,0.652,0.0993,8.9754,199.2006,14.1138,167.986,65.7364
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",130.0585,0.1301,0.0007875,130.1295,0.0046,0.0725,0.0031,0.3968,0.4389,0.6625,268.3917,125.7028,0.0046,0.6758,0.0031,8.8923,220.459,14.8479,188.9049,61.901
"DE_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-wf_0.8-cr_0.9",164.0031,0.164,0.00106645,164.1328,0.1115,0.0715,0.0974,0.3967,0.3974,0.6304,295.5021,116.7751,0.1115,0.6672,0.0974,8.8903,199.6042,14.1281,157.5368,70.0617
