model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",13.6799,0.0068,0.00865269,13.7056,0.136,0.0679,0.1275,0.3902,0.3842,0.6198,224.4397,124.845,0.136,0.6437,0.1275,8.744,192.9666,13.8912,164.5377,65.0775
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",15.124,0.0076,0.01501608,15.1577,0.1441,0.0674,0.1335,0.3936,0.3815,0.6177,199.8442,133.7428,0.1441,0.6452,0.1335,8.8209,191.6299,13.843,152.6437,65.0243
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",16.4503,0.0082,0.02621007,16.4956,0.1624,0.0667,0.1557,0.3821,0.3718,0.6097,199.724,132.8402,0.1624,0.6474,0.1557,8.5634,186.7197,13.6645,156.1614,61.6105
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",17.4045,0.0087,0.03362274,17.4628,0.1481,0.0672,0.138,0.3843,0.3795,0.6161,215.1731,128.1042,0.1481,0.6552,0.138,8.6118,190.6291,13.8068,156.614,62.4188
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",17.8755,0.0089,0.04182005,17.9398,0.1496,0.0659,0.1482,0.3758,0.3751,0.6124,224.8923,120.8166,0.1496,0.6251,0.1482,8.4233,188.3807,13.7252,161.6246,61.7954
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",17.9674,0.009,0.05272865,18.0442,0.161,0.0675,0.1606,0.3622,0.3696,0.608,186.3211,118.9229,0.161,0.6545,0.1606,8.1171,185.6411,13.625,175.1404,57.7258
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",18.556,0.0093,0.06488776,18.6444,0.1648,0.0671,0.1592,0.3783,0.3702,0.6085,202.6301,124.8845,0.1648,0.6607,0.1592,8.4778,185.9537,13.6365,163.2491,61.8451
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",18.6136,0.0093,0.07320547,18.7096,0.1642,0.0666,0.1605,0.3784,0.3697,0.608,227.6655,120.7475,0.1642,0.6307,0.1605,8.4815,185.6627,13.6258,170.3125,62.5016
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",18.9194,0.0095,0.08469081,19.028,0.157,0.0666,0.1508,0.3773,0.3739,0.6115,181.5277,129.4383,0.157,0.6414,0.1508,8.4563,187.8038,13.7042,163.2161,60.8993
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",19.407,0.0097,0.09353375,19.5237,0.1543,0.0684,0.1525,0.3577,0.3732,0.6109,217.059,112.5001,0.1543,0.7032,0.1525,8.0171,187.4307,13.6905,164.4568,56.6752
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",19.0513,0.0095,0.10474348,19.1799,0.1212,0.0681,0.103,0.4057,0.395,0.6285,162.7489,152.3193,0.1212,0.6563,0.103,9.0912,198.3733,14.0845,164.9191,65.716
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",19.8848,0.0099,0.12081027,20.0284,0.1674,0.0661,0.1494,0.3968,0.3745,0.612,211.3384,132.1655,0.1674,0.6414,0.1494,8.8938,188.1091,13.7153,159.7637,66.3585
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",19.7643,0.0099,0.10481691,19.8926,0.1535,0.0677,0.1475,0.3793,0.3754,0.6127,206.3581,124.0216,0.1535,0.6677,0.1475,8.4998,188.5307,13.7306,157.9694,61.3568
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",19.9609,0.01,0.13714719,20.1206,0.1709,0.0659,0.1665,0.3765,0.367,0.6058,221.6059,129.6877,0.1709,0.638,0.1665,8.4373,184.3361,13.577,153.238,60.9957
"MLNN-1H-sliding_3-net_para_hs_(10, True)-ep_2000-bs_128-lr_0.001-ac_('elu', 'elu')-op_sgd-lo_mse",23.2562,0.0116,0.18218088,23.4613,0.1476,0.0678,0.1395,0.39,0.3789,0.6156,191.98,129.9281,0.1476,0.6338,0.1395,8.7404,190.3091,13.7953,160.9693,63.5005
