model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"SCRIPT_PHYSICS_MLP-run_0-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",560.5017,0.5605,0.00208306,560.5658,0.2777,125.03417711184969,7.883,160.5313,12.6701,1.5408,5.142,0.2743,inf,inf,109.7009,0.9427,0.9535
"SCRIPT_PHYSICS_MLP-run_1-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",556.3824,0.5564,0.00210547,556.4464,0.2796,121.53359186661766,8.0391,160.9512,12.6867,1.5995,5.3204,0.2724,inf,inf,110.0544,0.9492,0.9724
"SCRIPT_PHYSICS_MLP-run_2-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",558.9364,0.5589,0.00248075,558.9974,0.2736,117.09545002509523,7.697,160.8892,12.6842,1.3909,4.6803,0.2727,inf,inf,108.9925,0.9255,0.931
"SCRIPT_PHYSICS_MLP-run_3-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",559.3304,0.5593,0.00206661,559.391,0.2751,120.76688565890574,7.9471,161.3889,12.7039,1.5494,5.1367,0.2704,inf,inf,109.7817,0.9437,0.9612
"SCRIPT_PHYSICS_MLP-run_4-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",661.9878,0.662,0.00393295,662.0493,0.279,122.82623580997323,7.7435,159.7862,12.6407,1.4679,4.8477,0.2777,inf,inf,109.2739,0.9343,0.9366
"SCRIPT_PHYSICS_MLP-run_5-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",884.4381,0.8844,0.00411439,884.5335,0.2795,122.05939426912907,7.9112,160.3567,12.6632,1.5387,5.1512,0.2751,inf,inf,109.7262,0.9433,0.9569
"SCRIPT_PHYSICS_MLP-run_6-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",859.5434,0.8595,0.00373721,859.6391,0.2786,121.48818226286112,7.9619,160.8935,12.6844,1.5538,5.1817,0.2727,inf,inf,109.842,0.9451,0.963
"SCRIPT_PHYSICS_MLP-run_7-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",945.5082,0.9455,0.00434756,945.5715,0.2766,126.66095966554151,7.8622,160.7689,12.6795,1.5113,5.0359,0.2732,inf,inf,109.6191,0.9407,0.951
"SCRIPT_PHYSICS_MLP-run_8-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",886.0661,0.8861,0.00335455,886.1682,0.2766,120.60351508368093,7.8822,160.8668,12.6833,1.5026,4.9801,0.2728,inf,inf,109.5727,0.9398,0.9534
"SCRIPT_PHYSICS_MLP-run_9-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",898.1499,0.8981,0.00355911,898.2475,0.278,118.5146262676878,7.8495,160.5415,12.6705,1.4716,4.8921,0.2743,inf,inf,109.4427,0.9369,0.9494
