model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
WdoMlp-0-run_0-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,132.7124,0.1327,0.00054336,132.8252,0.7428,17.914893730688267,1.838,8.5313,2.9208,0.101,1.1485,0.7382,0.2802,28.0245,29.0493,0.2584,0.6472,0.7382,0.9188,0.868,0.7975
WdoMlp-0-run_1-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,130.4536,0.1305,0.00052667,130.5131,0.7216,18.195200374561555,2.1766,9.0748,3.0124,0.1638,1.7401,0.7215,0.395,39.5036,37.9467,0.3473,0.7664,0.7215,0.9124,0.8551,0.7802
WdoMlp-0-run_2-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,124.6667,0.1247,0.00049853,124.7035,0.7833,14.940289560814765,1.8258,7.3301,2.7074,0.0732,1.3046,0.7751,0.2967,29.6732,26.5295,0.2747,0.6429,0.7751,0.9381,0.8938,0.8385
WdoMlp-0-run_3-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,129.3773,0.1294,0.00049114,129.4068,0.6432,21.010683430951627,2.2892,11.6965,3.42,0.2035,1.4882,0.6411,0.3796,37.956,39.5064,0.3304,0.806,0.6411,0.8784,0.8268,0.7263
WdoMlp-0-run_4-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,132.5565,0.1326,0.00053358,132.5994,0.7462,18.327854955709682,2.2053,8.9388,2.9898,0.1096,1.7729,0.7257,0.3994,39.9356,32.6606,0.3517,0.7765,0.7257,0.9094,0.8735,0.7944
WdoMlp-0-run_5-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,128.5041,0.1285,0.00051856,128.57,0.7367,18.3940690945496,1.8054,8.6122,2.9346,0.0821,1.0804,0.7357,0.2634,26.3412,26.2165,0.2456,0.6357,0.7357,0.9249,0.8692,0.8039
WdoMlp-0-run_6-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,133.2137,0.1332,0.00054669,133.2759,0.7519,18.13283773450828,1.905,8.12,2.8496,0.0791,1.4796,0.7508,0.3087,30.8726,27.7275,0.2862,0.6708,0.7508,0.9138,0.8802,0.8043
WdoMlp-0-run_7-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,130.8096,0.1308,0.00049138,130.8517,0.7271,21.086050278770575,1.8048,8.9552,2.9925,0.0637,1.0418,0.7252,0.2514,25.137,23.4172,0.2377,0.6355,0.7252,0.9184,0.8615,0.7912
WdoMlp-0-run_8-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,136.709,0.1367,0.00051761,136.7527,0.7874,14.536611086741644,1.786,7.0779,2.6604,0.0667,1.3127,0.7828,0.2865,28.6458,25.4012,0.2675,0.6288,0.7828,0.9354,0.8939,0.8362
WdoMlp-0-run_9-hs_7False-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,120.7918,0.1208,0.000633,120.8156,0.7419,19.681566200881903,2.2504,9.4289,3.0707,0.1086,1.951,0.7107,0.4057,40.5676,32.7769,0.36,0.7924,0.7107,0.9104,0.8671,0.7894
