model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
HgsoMlp-2-run_0-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,133.3397,0.0667,0.00027943,133.3582,0.7447,19.038768640918676,1.7384,8.9398,2.9899,0.0631,0.9303,0.7257,0.2269,22.6932,23.2445,0.2148,0.6121,0.7257,0.902,0.8971,0.8092
HgsoMlp-2-run_1-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,133.5479,0.0668,0.00031137,133.5662,0.755,18.297102735201925,1.7803,8.5748,2.9283,0.07,1.0476,0.7369,0.242,24.197,26.2593,0.2319,0.6269,0.7369,0.9213,0.8734,0.8047
HgsoMlp-2-run_2-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,134.0668,0.067,0.00030494,134.0959,0.7295,15.804944963416597,1.7633,9.249,3.0412,0.0661,0.9927,0.7162,0.2247,22.4738,24.4449,0.2156,0.6209,0.7162,0.9232,0.8678,0.8012
HgsoMlp-2-run_3-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,132.7326,0.0664,0.00029373,132.7511,0.6427,18.06894224363411,2.2411,13.054,3.613,0.1089,1.3694,0.5994,0.3094,30.9353,33.0102,0.2904,0.7891,0.5994,0.8479,0.8353,0.7083
HgsoMlp-2-run_4-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,159.4882,0.0797,0.00027752,159.5068,0.6117,24.473068243338496,2.1914,13.6284,3.6917,0.0989,1.052,0.5818,0.2879,28.7941,29.7849,0.2674,0.7716,0.5818,0.8478,0.8097,0.6865
HgsoMlp-2-run_5-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,133.2815,0.0666,0.0002656,133.3004,0.7219,14.553102198905869,1.9072,9.2092,3.0347,0.0706,1.0125,0.7174,0.2504,25.0357,25.6104,0.2361,0.6715,0.7174,0.9217,0.8623,0.7948
HgsoMlp-2-run_6-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,132.2435,0.0661,0.00027084,132.2621,0.7689,19.800374679795052,1.6983,8.1105,2.8479,0.0617,0.9636,0.7511,0.2304,23.0431,23.8487,0.2195,0.598,0.7511,0.9155,0.9009,0.8248
HgsoMlp-2-run_7-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,131.48,0.0657,0.00028038,131.4988,0.7643,13.494259336797743,1.7704,7.7498,2.7838,0.0612,1.003,0.7622,0.2487,24.87,23.4102,0.2329,0.6234,0.7622,0.9385,0.8913,0.8365
HgsoMlp-2-run_8-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,130.8496,0.0654,0.00027919,130.8683,0.7222,14.244106781733711,1.8107,9.1248,3.0207,0.063,0.988,0.72,0.2425,24.2532,23.8946,0.2277,0.6376,0.72,0.9363,0.8937,0.8368
HgsoMlp-2-run_9-hs_4True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_100,132.2936,0.0661,0.00024891,132.3124,0.7152,23.14282947554579,1.7236,10.44,3.2311,0.066,0.7668,0.6796,0.2002,20.0162,22.2596,0.1932,0.6069,0.6796,0.8986,0.8524,0.766
