model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"Rnn1HL-run_0-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",340.3145,0.1702,0.25768471,340.5923,0.8509,13.7943643,1.4297,5.1783,2.2756,0.0463,0.8222,0.8411,0.1959,19.5892,21.0247,0.1899,0.5034,0.8411,0.9561,0.9266,0.8859
"Rnn1HL-run_1-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",337.2647,0.1686,0.2620616,337.5456,0.826,12.8715408,1.5344,5.712,2.39,0.0542,0.7944,0.8247,0.2222,22.2245,22.0474,0.2105,0.5403,0.8247,0.953,0.9163,0.8732
"Rnn1HL-run_2-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",351.8454,0.1759,0.25932145,352.1234,0.8342,12.49432729,1.4773,5.4044,2.3247,0.0485,0.7696,0.8342,0.2142,21.4214,20.4364,0.2019,0.5202,0.8342,0.9556,0.92,0.8792
"Rnn1HL-run_3-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",340.328,0.1702,0.26423144,340.6107,0.8245,14.11040294,1.5173,5.7696,2.402,0.0548,0.8082,0.8229,0.224,22.4036,21.5611,0.2096,0.5342,0.8229,0.949,0.9137,0.8671
"Rnn1HL-run_4-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",341.0315,0.1705,0.25958633,341.3099,0.844,12.0208019,1.4149,5.1468,2.2687,0.0435,0.728,0.8421,0.1973,19.7316,19.6404,0.1892,0.4982,0.8421,0.9561,0.9234,0.8829
"Rnn1HL-run_5-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",340.1009,0.1701,0.26201701,340.3814,0.8209,10.72026911,1.4916,5.844,2.4174,0.0463,0.7065,0.8207,0.2033,20.3317,19.0236,0.1914,0.5252,0.8207,0.9514,0.9131,0.8687
"Rnn1HL-run_6-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",349.5397,0.1748,0.26524854,349.8237,0.8257,14.04248535,1.5337,6.1132,2.4725,0.052,0.8576,0.8124,0.2079,20.7885,21.7602,0.1998,0.54,0.8124,0.9442,0.9145,0.8635
"Rnn1HL-run_7-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",360.7071,0.1804,0.25984883,360.9858,0.8171,11.67106544,1.5394,5.9762,2.4446,0.0478,0.7711,0.8166,0.2112,21.122,19.9917,0.1999,0.542,0.8166,0.9519,0.9127,0.8688
"Rnn1HL-run_8-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",548.0277,0.274,3.46808219,551.5399,0.8268,12.79687741,1.4822,5.6558,2.3782,0.0472,0.7912,0.8264,0.2108,21.0828,20.5222,0.2003,0.5219,0.8264,0.9526,0.9149,0.8715
"Rnn1HL-run_9-hs_(20, False)-ep_2000-bs_32-lr_0.01-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",438.0781,0.219,0.29989123,438.4346,0.8307,13.35454377,1.4605,5.5609,2.3581,0.0453,0.729,0.8294,0.2063,20.6325,18.9236,0.1936,0.5142,0.8294,0.9529,0.9171,0.8739
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1.4397,,2.4256,,,,0.2009,19.6892,,,,,0.9461,0.9216,0.8759
,,,,,,,1.5444,,2.54,,,,0.2272,22.3245,,,,,0.943,0.9113,0.8632
,,,,,,,1.4873,,2.4747,,,,0.2192,21.5214,,,,,0.9456,0.915,0.8692
,,,,,,,1.5273,,2.552,,,,0.229,22.5036,,,,,0.939,0.9087,0.8571
,,,,,,,1.4249,,2.4187,,,,0.2023,19.8316,,,,,0.9461,0.9184,0.8729
,,,,,,,1.5016,,2.5674,,,,0.2083,20.4317,,,,,0.9414,0.9081,0.8587
,,,,,,,1.5437,,2.6225,,,,0.2129,20.8885,,,,,0.9342,0.9095,0.8535
,,,,,,,1.5494,,2.5946,,,,0.2162,21.222,,,,,0.9419,0.9077,0.8588
,,,,,,,1.4922,,2.5282,,,,0.2158,21.1828,,,,,0.9426,0.9099,0.8615
,,,,,,,1.4705,,2.5081,,,,0.2113,20.7325,,,,,0.9429,0.9121,0.8639
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.01,,0.15,,,,0.005,0.1,,,,,0.01,0.005,0.01
