model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
WdoMlp-2-run_0-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,122.8139,0.0614,0.00025535,122.8323,0.802,13.671350353754782,1.6661,6.4839,2.5464,0.0635,1.1159,0.801,0.246,24.5982,24.3654,0.2312,0.5866,0.801,0.9435,0.9014,0.8505
WdoMlp-2-run_1-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,123.251,0.0616,0.00024629,123.2687,0.7618,22.271234460268502,1.5402,8.159,2.8564,0.0465,0.6618,0.7496,0.1791,17.9058,18.3797,0.1729,0.5423,0.7496,0.9148,0.8894,0.8136
WdoMlp-2-run_2-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,122.5516,0.0613,0.00029325,122.5699,0.7629,15.927796825665158,1.7747,7.7482,2.7836,0.0641,1.0247,0.7622,0.2546,25.4562,24.3877,0.2384,0.6249,0.7622,0.9291,0.8833,0.8207
WdoMlp-2-run_3-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,121.3256,0.0607,0.00028563,121.3438,0.8027,18.258053769638963,1.5063,6.5289,2.5552,0.0438,0.7747,0.7996,0.1933,19.3289,19.4576,0.1861,0.5304,0.7996,0.9396,0.9021,0.8476
WdoMlp-2-run_4-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,123.3092,0.0617,0.00029397,123.3274,0.7664,19.29731905714732,1.6901,8.0788,2.8423,0.0568,0.9064,0.7521,0.2248,22.482,23.2283,0.2161,0.5951,0.7521,0.9169,0.8933,0.8191
WdoMlp-2-run_5-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,122.095,0.061,0.00025725,122.1132,0.7853,14.078966552839955,1.6009,7.2671,2.6958,0.0504,0.8324,0.777,0.2014,20.1435,21.4679,0.1947,0.5637,0.777,0.9383,0.8916,0.8366
WdoMlp-2-run_6-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,148.8794,0.0744,0.00033641,148.8982,0.7579,19.713911990810303,1.5903,8.2954,2.8802,0.0533,0.7947,0.7454,0.2012,20.1185,20.5259,0.1924,0.5599,0.7454,0.9141,0.8898,0.8134
WdoMlp-2-run_7-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,122.9769,0.0615,0.00029302,122.9958,0.7881,17.851568472610076,1.5266,6.9526,2.6368,0.0451,0.7896,0.7866,0.1972,19.7247,19.6269,0.1895,0.5375,0.7866,0.9398,0.8933,0.8395
WdoMlp-2-run_8-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,122.8644,0.0614,0.00028276,122.8832,0.7697,18.92180696352331,1.7017,7.8579,2.8032,0.0605,0.9857,0.7589,0.2299,22.9903,23.8354,0.2193,0.5992,0.7589,0.9222,0.8936,0.8241
WdoMlp-2-run_9-hs_4True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_2000-g_0.2-max_v_0.3-pop_size_100,121.3559,0.0607,0.00032187,121.3748,0.7796,18.825442837228245,1.5989,7.2609,2.6946,0.0517,0.8626,0.7772,0.2161,21.6065,21.2335,0.206,0.563,0.7772,0.9291,0.8942,0.8308
