model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
DeMlp-0-run_0-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,233.6795,0.1558,0.00070882,233.7322,-0.3294,38.56539643979649,4.3446,44.638,6.6812,0.7688,2.9618,-0.3698,0.6865,68.6542,71.4488,0.5195,1.5297,-0.3698,0.7082,0.7583,0.537
DeMlp-0-run_1-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,237.0643,0.158,0.0004797,237.0936,0.0627,19.428090802554827,4.3597,30.5475,5.527,0.8255,3.6569,0.0626,0.8274,82.7355,79.7986,0.5876,1.535,0.0626,0.8153,0.817,0.6661
DeMlp-0-run_2-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,231.6897,0.1545,0.00052452,231.7179,0.3477,21.857138392720614,3.6808,23.4341,4.8409,0.7549,2.9476,0.2809,0.6986,69.8551,85.8257,0.5183,1.296,0.2809,0.8586,0.8188,0.703
DeMlp-0-run_3-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,238.3424,0.1589,0.00053072,238.4205,0.1761,17.876529360396386,4.9053,35.5035,5.9585,0.5514,4.448,-0.0895,1.1085,110.8519,68.4655,0.6689,1.7272,-0.0895,0.7119,0.7534,0.5363
DeMlp-0-run_4-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,234.7454,0.1565,0.00056052,234.7784,0.45,17.30238986075003,2.9962,18.2977,4.2776,0.3076,1.9748,0.4385,0.5313,53.1253,50.2693,0.4163,1.055,0.4385,0.8682,0.8143,0.707
DeMlp-0-run_5-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,239.4,0.1596,0.00051188,239.4269,0.5338,14.468464877715206,2.9551,15.2402,3.9039,0.4794,2.3287,0.5323,0.6007,60.0696,60.0678,0.4514,1.0405,0.5323,0.8926,0.8382,0.7482
DeMlp-0-run_6-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,238.6105,0.1591,0.00049496,238.6386,0.5568,20.385942429768352,4.2097,28.6688,5.3543,1.0567,3.3932,0.1202,0.8136,81.3586,107.2589,0.5793,1.4822,0.1202,0.7679,0.8211,0.6305
DeMlp-0-run_7-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,248.0474,0.1654,0.00052691,248.0751,0.4012,19.879147673184683,3.5775,22.8706,4.7823,0.7141,2.7325,0.2982,0.7112,71.1249,80.2071,0.5045,1.2597,0.2982,0.8468,0.8254,0.6989
DeMlp-0-run_8-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,235.434,0.157,0.0005064,235.4615,0.466,18.119809053546856,3.2436,18.9195,4.3496,0.592,2.2818,0.4194,0.6517,65.1685,70.9122,0.4638,1.1421,0.4194,0.8798,0.8389,0.7381
DeMlp-0-run_9-hs_7False-ac_eluelu-cr_0.9-epoch_1500-pop_size_50-wf_0.8,233.9771,0.156,0.00063562,234.0045,0.4008,21.66038203313701,3.6623,25.3945,5.0393,0.9555,2.5952,0.2207,0.6182,61.8157,83.6108,0.4857,1.2895,0.2207,0.821,0.8288,0.6804
