model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
HgsoMlp-1-run_0-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,206.7019,0.1378,0.00078464,206.7305,0.573,24.218628961606825,2.7381,15.3795,3.9217,0.4897,1.9719,0.528,0.498,49.7989,62.4755,0.4034,0.9641,0.528,0.8638,0.7999,0.691
HgsoMlp-1-run_1-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,203.7317,0.1358,0.00114298,203.7613,0.5708,18.278906301374967,2.8026,14.1975,3.768,0.3344,2.2316,0.5643,0.5169,51.6943,54.905,0.4273,0.9868,0.5643,0.869,0.8138,0.7072
HgsoMlp-1-run_2-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,204.4685,0.1363,0.00074458,204.5139,0.6878,14.494949361235967,2.7003,12.2072,3.4939,0.1647,2.076,0.6254,0.5193,51.9327,38.14,0.4158,0.9508,0.6254,0.8845,0.8429,0.7455
HgsoMlp-1-run_3-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,203.5111,0.1357,0.00067425,203.5525,0.7543,19.77354951248337,2.0539,8.5128,2.9177,0.0945,1.6035,0.7388,0.3626,36.2628,29.738,0.3234,0.7232,0.7388,0.9147,0.8798,0.8048
HgsoMlp-1-run_4-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,203.4073,0.1356,0.00081658,203.4351,0.7006,15.102592675451813,2.2713,10.181,3.1908,0.1069,1.6955,0.6876,0.3842,38.4204,32.2151,0.3426,0.7997,0.6876,0.8988,0.8418,0.7566
HgsoMlp-1-run_5-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,204.5903,0.1364,0.00068784,204.6174,0.6662,17.203590810268253,2.5183,11.2047,3.3473,0.2621,1.9224,0.6562,0.4761,47.6086,44.6711,0.3888,0.8867,0.6562,0.9037,0.8471,0.7655
HgsoMlp-1-run_6-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,194.4819,0.1297,0.00066996,194.5335,0.6953,17.433605893734203,2.3399,9.9452,3.1536,0.1809,1.928,0.6948,0.4273,42.7318,39.238,0.3657,0.8239,0.6948,0.9056,0.8492,0.769
HgsoMlp-1-run_7-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,180.4593,0.1203,0.00105524,180.5101,0.5987,20.364947042941402,2.7223,13.5079,3.6753,0.2042,2.0922,0.5855,0.4913,49.1288,42.0081,0.4091,0.9585,0.5855,0.8636,0.8178,0.7063
HgsoMlp-1-run_8-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,156.7461,0.1045,0.00063467,156.7738,0.7104,17.46101262892497,2.4581,10.1892,3.1921,0.2137,2.1493,0.6873,0.4677,46.765,41.4008,0.3912,0.8655,0.6873,0.9106,0.8636,0.7864
HgsoMlp-1-run_9-hs_7False-ac_eluelu-epoch_1500-n_clusters_2-pop_size_50,154.0266,0.1027,0.00094104,154.0549,0.681,18.064893183651314,2.7764,12.0452,3.4706,0.2039,2.4287,0.6304,0.5488,54.88,42.79,0.4439,0.9776,0.6304,0.8887,0.8474,0.7531
