model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MLP2-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",57.5748,0.0576,0.07564545,57.6969,0.813,13.82516130447387,1.4473,6.129,2.4757,0.0427,0.6511,0.8119,0.1915,19.1478,17.7281,0.1809,0.5096,0.8119,0.9475,0.9103,0.8625
"MLP2-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",59.808,0.0598,0.07266951,59.9262,0.8299,13.10463804244995,1.4859,5.5428,2.3543,0.0475,0.8331,0.8299,0.2059,20.5926,19.9137,0.1963,0.5232,0.8299,0.9524,0.9165,0.8729
"MLP2-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",58.0816,0.0581,0.08049202,58.2044,0.8091,14.130369510650628,1.5703,6.3055,2.5111,0.0574,0.9293,0.8065,0.2211,22.1119,22.4703,0.2093,0.5529,0.8065,0.9457,0.9112,0.8617
"MLP2-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adadelta-lo_mse",61.9805,0.062,0.06933475,62.0983,0.8206,12.923807945251463,1.8194,6.5141,2.5523,0.07,1.2344,0.8001,0.3061,30.6144,25.8086,0.2814,0.6406,0.8001,0.9432,0.9124,0.8606
"MLP2-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",62.0215,0.062,0.09193945,62.1525,0.8284,13.190098943710327,1.5672,5.6764,2.3825,0.0511,0.9624,0.8258,0.235,23.4959,21.2669,0.2213,0.5518,0.8258,0.95,0.916,0.8702
"MLP2-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",59.1685,0.0592,0.03943682,59.2585,0.8247,12.93137864112854,1.507,5.7446,2.3968,0.0478,0.8106,0.8237,0.213,21.2996,19.6936,0.2011,0.5306,0.8237,0.9497,0.9169,0.8708
"MLP2-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",62.5282,0.0625,0.08050752,62.6328,0.8444,12.160766043663024,1.485,5.0812,2.2542,0.0547,0.9124,0.8441,0.2238,22.3844,21.5706,0.2108,0.5229,0.8441,0.955,0.9255,0.8839
"MLP2-run_1-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",56.1904,0.0562,0.05636311,56.2943,0.8099,14.2997068786621,1.5477,6.3105,2.5121,0.0558,0.8661,0.8063,0.2137,21.3689,21.8852,0.2033,0.5449,0.8063,0.9459,0.91,0.8608
"MLP2-run_1-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",58.6248,0.0586,0.04594231,58.7167,0.8212,13.574235048294065,1.5272,5.8269,2.4139,0.0499,0.8787,0.8212,0.2124,21.2398,20.4088,0.202,0.5377,0.8212,0.9485,0.911,0.8641
"MLP2-run_1-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",56.8925,0.0569,0.04568911,56.9818,0.8243,13.461111860275269,1.4652,5.7315,2.3941,0.0457,0.7448,0.8241,0.2004,20.0429,18.998,0.1902,0.5159,0.8241,0.9504,0.9155,0.8701
