model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"MLNN-1H-run_0-hs_(20, True)-ep_30-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.0043,0.0335,0.05384421,1.0699,-0.3949,0.0068,-0.5444,0.0686,0.0094,0.0967,inf,83.903,-0.3949,1.2725,-0.5444,7.2968,105.9943,10.2954,inf,83.903
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.4106,0.0141,0.05225086,1.4734,-0.1034,0.0068,-0.4336,0.0759,0.0087,0.0932,inf,90.3199,-0.1034,1.2723,-0.4336,8.0819,98.3845,9.9189,inf,90.3199
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.5565,0.0156,0.04764724,1.6165,0.1809,0.0043,0.0709,0.0565,0.0056,0.075,inf,78.5798,0.1809,0.9145,0.0709,6.009,63.762,7.9851,inf,78.5798
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.5256,0.0153,0.04754877,1.5856,0.1356,0.005,-0.0627,0.0634,0.0064,0.0802,inf,83.4592,0.1356,1.0517,-0.0627,6.7489,72.9317,8.54,inf,83.4592
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.3793,0.0138,0.05244088,1.4426,0.0169,0.0051,-0.0982,0.0599,0.0067,0.0816,inf,80.6743,0.0169,0.9714,-0.0982,6.3703,75.3711,8.6817,inf,80.6743
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.4781,0.0148,0.04743242,1.5376,-0.1204,0.0057,-0.2307,0.063,0.0075,0.0864,inf,81.8885,-0.1204,1.0341,-0.2307,6.7047,84.4595,9.1902,inf,81.8885
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.418,0.0142,0.03124547,1.4608,0.1947,0.0043,0.0852,0.0559,0.0055,0.0745,inf,77.9001,0.1947,0.9017,0.0852,5.9519,62.7825,7.9235,inf,77.9001
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.2691,0.0127,0.04511166,1.327,-0.0641,0.0061,-0.296,0.0692,0.0079,0.0886,inf,86.9633,-0.0641,1.1763,-0.296,7.369,88.9457,9.4311,inf,86.9633
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.7673,0.0177,0.11010647,1.8897,0.1782,0.0041,0.1105,0.052,0.0054,0.0734,inf,75.0824,0.1782,0.8068,0.1105,5.5345,61.045,7.8131,inf,75.0824
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.5906,0.0159,0.05711031,1.6601,-0.0705,0.005,-0.1424,0.0562,0.0069,0.0832,inf,77.9976,-0.0705,0.861,-0.1424,5.9814,78.399,8.8543,inf,77.9976
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.2474,0.0125,0.05086589,1.3107,-0.4242,0.0081,-0.819,0.0861,0.011,0.105,inf,98.5268,-0.4242,1.6375,-0.819,9.1628,124.8351,11.173,inf,98.5268
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.5907,0.0159,0.05461597,1.6571,-0.1761,0.0054,-0.2035,0.0573,0.0073,0.0854,inf,77.1986,-0.1761,0.7774,-0.2035,6.0982,82.5937,9.0881,inf,77.1986
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.5134,0.0151,0.05794358,1.5832,0.1769,0.0045,0.0415,0.0591,0.0058,0.0762,inf,80.8947,0.1769,0.9609,0.0415,6.2936,65.7834,8.1107,inf,80.8947
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.4679,0.0147,0.05074239,1.5311,0.1608,0.0046,0.0216,0.0591,0.0059,0.077,inf,80.2011,0.1608,0.9733,0.0216,6.2919,67.1473,8.1943,inf,80.2011
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.4755,0.0148,0.0558629,1.5425,-0.11,0.0068,-0.4389,0.0788,0.0087,0.0934,inf,95.4253,-0.11,1.2942,-0.4389,8.3853,98.7529,9.9375,inf,95.4253
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.688,0.0169,0.05129838,1.7512,0.0859,0.005,-0.0791,0.0627,0.0065,0.0809,inf,82.9349,0.0859,1.0399,-0.0791,6.6726,74.0577,8.6057,inf,82.9349
"MLNN-1H-run_0-hs_(20, True)-ep_100-bs_64-lr_0.2-ac_('elu', 'elu')-op_sgd-lo_mse",1.6723,0.0167,0.05250359,1.7361,0.2026,0.0043,0.0793,0.057,0.0056,0.0747,inf,78.6285,0.2026,0.9256,0.0793,6.0625,63.1873,7.949,inf,78.6285
