model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
AsoLstm-run_0-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,7062.6126,7.0626,0.06105351,7064.1404,0.0158,0.0024,-0.0097,0.0362,0.003,0.0551,inf,115.6013,0.0158,2.2472,-0.0097,9.8199,223.3512,14.9449,inf,115.6013
AsoLstm-run_1-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,6893.6673,6.8937,0.05170584,6894.2795,0.2517,0.003,-0.197,0.05,0.0036,0.06,inf,124.2089,0.2517,3.1728,-0.197,13.5604,264.8012,16.2727,inf,124.2089
AsoLstm-run_2-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,6734.0264,6.734,0.06695771,6735.0142,0.2215,0.0018,0.2201,0.0284,0.0023,0.0484,inf,109.5932,0.2215,1.4938,0.2201,7.6987,172.5357,13.1353,inf,109.5932
AsoLstm-run_3-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,6789.2601,6.7893,0.05847669,6790.0571,0.0169,0.0024,-0.0079,0.0361,0.003,0.055,inf,115.5462,0.0169,2.2409,-0.0079,9.7996,222.9687,14.9321,inf,115.5462
AsoLstm-run_4-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,6807.7436,6.8077,0.06073308,6808.5759,0.2181,0.0019,0.1808,0.0337,0.0025,0.0496,inf,113.5253,0.2181,2.0516,0.1808,9.1549,181.2129,13.4615,inf,113.5253
AsoLstm-run_5-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,6671.4038,6.6714,0.04728103,6672.2505,0.0039,0.0024,-0.019,0.0361,0.0031,0.0553,inf,115.5999,0.0039,2.2406,-0.019,9.8025,225.4205,15.014,inf,115.5999
AsoLstm-run_6-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,6757.9615,6.758,0.05915189,6759.0253,0.0045,0.0024,-0.0193,0.0362,0.0031,0.0553,inf,115.6461,0.0045,2.2468,-0.0193,9.8218,225.4777,15.0159,inf,115.6461
AsoLstm-run_7-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,6875.0874,6.8751,0.04085922,6876.1181,0.0042,0.0024,-0.0238,0.0366,0.0031,0.0555,inf,115.9059,0.0042,2.2786,-0.0238,9.9235,226.4744,15.0491,inf,115.9059
AsoLstm-run_8-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,7053.4732,7.0535,0.04084921,7054.2108,0.0039,0.0024,-0.0194,0.0362,0.0031,0.0553,inf,115.6256,0.0039,2.2439,-0.0194,9.8128,225.5086,15.0169,inf,115.6256
AsoLstm-run_9-hs_[7]True-ac_eluelu-alpha_50-beta_0.2-epoch_1000-pop_size_50,7107.3359,7.1073,0.05655265,7107.9358,0.1672,0.0022,0.0322,0.026,0.0029,0.0539,inf,113.001,0.1672,1.1836,0.0322,7.0542,214.082,14.6315,inf,113.001
