model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
EoLstm-run_0-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,561.3688,0.5614,0.00398755,561.5129,0.1561,0.0041,0.1136,0.0504,0.0054,0.0733,inf,74.6657,0.1561,0.709,0.1136,5.3683,60.831,7.7994,inf,74.6657
EoLstm-run_1-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,565.5129,0.5655,0.0037837,565.6523,0.1064,0.0044,0.0531,0.0523,0.0057,0.0757,inf,75.3917,0.1064,0.7419,0.0531,5.5634,64.9823,8.0612,inf,75.3917
EoLstm-run_2-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,571.325,0.5713,0.00421882,571.4658,0.1587,0.0041,0.0952,0.052,0.0055,0.074,inf,74.7657,0.1587,0.7743,0.0952,5.5291,62.093,7.8799,inf,74.7657
EoLstm-run_3-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,570.0879,0.5701,0.00652456,570.2361,0.1477,0.0042,0.1022,0.0509,0.0054,0.0738,inf,74.8897,0.1477,0.7142,0.1022,5.42,61.6163,7.8496,inf,74.8897
EoLstm-run_4-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,577.0947,0.5771,0.00392962,577.2475,0.0992,0.0043,0.0655,0.0512,0.0057,0.0752,inf,74.1312,0.0992,0.7103,0.0655,5.4437,64.1348,8.0084,inf,74.1312
EoLstm-run_5-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,571.9077,0.5719,0.00382066,572.0484,0.1182,0.0042,0.0738,0.0516,0.0056,0.0749,inf,73.5739,0.1182,0.7512,0.0738,5.4914,63.563,7.9726,inf,73.5739
EoLstm-run_6-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,566.3901,0.5664,0.00385404,566.5377,0.1309,0.0042,0.0962,0.0512,0.0055,0.074,inf,76.1001,0.1309,0.7429,0.0962,5.4468,62.0265,7.8757,inf,76.1001
EoLstm-run_7-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,573.2648,0.5733,0.007164,573.4129,0.0116,0.0047,-0.0228,0.0536,0.0062,0.0787,inf,75.5462,0.0116,0.7318,-0.0228,5.7048,70.1972,8.3784,inf,75.5462
EoLstm-run_8-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,571.5529,0.5716,0.00622845,571.7441,0.1279,0.0042,0.0876,0.0502,0.0055,0.0744,inf,73.636,0.1279,0.6936,0.0876,5.3403,62.6174,7.9131,inf,73.636
EoLstm-run_9-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,556.0568,0.5561,0.003793,556.2158,0.0872,0.0043,0.0648,0.0513,0.0057,0.0753,inf,74.1792,0.0872,0.7168,0.0648,5.4618,64.1828,8.0114,inf,74.1792
