,EVS,MAE,MSE,RMSE,MSLE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
MLP,0.00032226900000000057,0.005726223222222225,0.4343366888888888,0.01998940455555553,2.7624555555555564e-05,0.0004092410000000005,0.00045671066666666673,4.564995268999997,0.849676042333333,0.0002475978888888888,0.000710241000000001,0.0004092410000000005,1.3442666666666678e-05,3.072011111111137e-05,6.968844444444461e-05
RNN,0.0002362823333333331,0.01099765166666667,0.2560884328888888,0.012801127666666674,0.00011579600000000001,0.00024059377777777726,0.00046075733333333365,4.605429052888887,7.686105209000004,0.00040016888888888894,0.0013625222222222223,0.00024059377777777726,1.4937333333333325e-05,3.06090000000001e-05,7.789211111111146e-05
LSTM,0.0010514751111111121,0.012094895111111106,1.2569324182222228,0.049052720111111135,9.710177777777777e-05,0.0011832160000000006,0.0005654049999999999,5.655900785444437,2.203928006222222,0.0002534232222222222,0.001498893777777778,0.0011832160000000006,9.092222222222258e-05,0.00018767433333333354,0.00046416844444444337
GA-MLP,0.0001412276666666666,0.029912816555555572,0.1296659715555556,0.004325993444444442,0.0009283951111111111,0.00012213211111111123,0.0027777137777777773,27.788924212111098,27.913820167666657,0.0017046609999999992,0.003710758777777778,0.00012213211111111123,1.0089333333333311e-05,2.1458777777777815e-05,4.707288888888917e-05
DE-MLP,0.006614256000000001,0.07462534233333334,4.510811558333332,0.08528053655555554,0.012777737888888889,0.0042475965555555575,0.003595745444444443,35.95700513822222,149.01935339288892,0.0019811,0.009249227666666663,0.0042475965555555575,0.00029970233333333354,0.0001069817777777775,0.00024745122222222216
FPA-MLP,0.00017613566666666743,0.014412133333333327,0.14157370233333327,0.00514682266666666,0.0021516605555555557,0.00013343555555555525,0.0015928209999999997,15.926357148444449,38.56702718900001,0.001020873888888889,0.0017860777777777776,0.00013343555555555525,9.189333333333335e-06,1.6126666666666588e-05,3.6409000000000166e-05
PSO-MLP,0.00013403566666666728,0.007601265444444437,0.16554929511111116,0.006733947111111114,0.000108105,0.00015608233333333325,0.00040600844444444465,4.062245277777777,4.833863688444443,0.0002956876666666668,0.0009431467777777783,0.00015608233333333325,1.1267666666666591e-05,2.7731222222222377e-05,6.378488888888853e-05
WOA-MLP,0.00033431122222222186,0.022139881000000014,0.37353327955555543,0.013449019555555549,0.0005290498888888888,0.00035164400000000013,0.0016264316666666663,16.268970368888894,16.579183455999996,0.0010425538888888886,0.002744133777777776,0.00035164400000000013,4.97210000000001e-05,0.000140958777777778,0.00030304177777777826
GWO-MLP,0.00020244666666666643,0.02241718400000002,0.9060830417777778,0.027726868888888877,0.0031737373333333343,0.0008536915555555562,0.0012484734444444445,12.482204883222217,55.07619332766668,0.0008632183333333334,0.0027799912222222205,0.0008536915555555562,7.307733333333347e-05,6.473777777777768e-05,0.00020678888888888932
SSA-MLP,0.000707873777777777,0.04241559122222221,1.2102051271111116,0.04132625288888885,0.0021573867777777774,0.0011398445555555563,0.00205856,20.57460482177778,48.35498544455557,0.001481856555555555,0.005259015666666665,0.0011398445555555563,7.292011111111109e-05,0.00015661433333333306,0.00036488944444444384
WDO-MLP,0.00023531433333333308,0.028928456555555555,0.24389184322222224,0.008773829888888897,0.0009079809999999999,0.0002301343333333336,0.002232778333333333,22.332189484555563,31.729346224,0.0016399462222222224,0.0035869010000000013,0.0002301343333333336,1.1798222222222213e-05,4.2365444444444204e-05,8.264488888888858e-05
MVO-MLP,0.0009847854444444439,0.035639167111111134,1.0800577026666667,0.04130254844444446,0.002664169888888889,0.0010169337777777778,0.00235701288888889,23.564400803222227,46.828608002222225,0.0013904476666666671,0.0044196467777777755,0.0010169337777777778,3.3526666666666774e-05,8.000266666666696e-05,0.00018618233333333396
EO-MLP,0.0004201690000000002,0.006863342666666659,0.3988085134444445,0.01577298011111111,6.618933333333332e-05,0.0003760582222222222,0.0004545933333333332,4.540901942777777,3.7413242844444436,0.0003443467777777779,0.0008514005555555555,0.0003760582222222222,1.194400000000013e-05,2.508944444444446e-05,5.740888888888842e-05
NRO-MLP,0.00018072899999999997,0.013278239555555557,0.21928912766666664,0.009348947666666678,0.0009227248888888888,0.00020639111111111138,0.0010942128888888883,10.933382489444442,18.266007187111125,0.0007223187777777774,0.0016475471111111104,0.00020639111111111138,9.097333333333369e-06,2.1386777777777897e-05,5.079166666666636e-05
HGSO-MLP,0.0003220512222222227,0.009535989333333328,0.42747960044444455,0.015255842777777757,0.00029972722222222224,0.0004024284444444447,0.001091796,10.920404213333333,12.490358580111113,0.0007894356666666665,0.0011829662222222219,0.0004024284444444447,5.703955555555554e-05,0.00011869822222222232,0.000287002777777778
