model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
DeMlp-0-run_0-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,382.9486,0.1915,0.00051093,383.0321,0.4914,13.810422154230064,3.1631,16.6817,4.0843,0.4876,2.6743,0.4881,0.5456,54.5643,73.7916,0.4688,1.1137,0.4881,0.9064,0.8918,0.8083
DeMlp-0-run_1-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,387.5505,0.1938,0.000741,387.5905,0.691,13.3463917831746,2.7141,11.4579,3.385,0.4269,2.476,0.6484,0.4909,49.0933,69.4509,0.4313,0.9556,0.6484,0.9229,0.8906,0.8219
DeMlp-0-run_2-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,386.3807,0.1932,0.00059605,386.4206,0.6457,13.650382546516404,2.9357,12.7476,3.5704,0.4515,2.6625,0.6088,0.5699,56.9935,71.1594,0.4681,1.0337,0.6088,0.9083,0.882,0.8011
DeMlp-0-run_3-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,391.5538,0.1958,0.00096893,391.5837,0.6861,15.890501078655586,2.2302,10.261,3.2033,0.1734,1.5599,0.6851,0.35,35.0045,39.004,0.3171,0.7853,0.6851,0.9203,0.8635,0.7947
DeMlp-0-run_4-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,392.5028,0.1963,0.00085807,392.5276,0.729,18.64813109546271,2.7005,11.9528,3.4573,0.3959,2.3685,0.6332,0.4743,47.4294,67.4911,0.4236,0.9508,0.6332,0.9141,0.8885,0.8122
DeMlp-0-run_5-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,361.9067,0.181,0.00057554,361.9327,0.7682,22.85051740603763,2.7696,12.9523,3.5989,0.3693,2.3435,0.6025,0.4762,47.6231,67.5832,0.4282,0.9752,0.6025,0.8922,0.8873,0.7916
DeMlp-0-run_6-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,244.701,0.1224,0.0013063,244.7266,0.7628,18.685873910989294,3.1608,15.6535,3.9565,0.5472,2.8127,0.5196,0.5418,54.1832,81.2778,0.4749,1.1129,0.5196,0.8671,0.8923,0.7737
DeMlp-0-run_7-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,239.8477,0.1199,0.00068974,239.873,0.6594,11.52002625173784,2.7126,11.4166,3.3789,0.2335,2.357,0.6497,0.5012,50.1249,50.1054,0.4278,0.9551,0.6497,0.9186,0.8717,0.8007
DeMlp-0-run_8-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,242.1087,0.1211,0.0004847,242.1339,0.7552,16.531215098876494,2.5959,10.2047,3.1945,0.4338,2.459,0.6868,0.481,48.1019,68.3224,0.4229,0.914,0.6868,0.9238,0.8977,0.8293
DeMlp-0-run_9-hs_7False-ac_eluelu-cr_0.9-epoch_2000-pop_size_50-wf_0.8,259.0933,0.1295,0.00056458,259.1167,0.6938,18.019763922428655,2.8448,12.9804,3.6028,0.4362,2.6121,0.6017,0.4952,49.5165,70.154,0.4333,1.0016,0.6017,0.908,0.8874,0.8058
