model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
HgsoMlp-0-run_0-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,181.4605,0.0907,0.00053978,181.546,0.7932,14.755359573049212,1.8001,6.751,2.5983,0.0949,1.3163,0.7928,0.2968,29.6759,30.0875,0.2756,0.6338,0.7928,0.943,0.8996,0.8483
HgsoMlp-0-run_1-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,182.8272,0.0914,0.00048041,182.854,0.7601,11.33094872957596,1.8657,7.8492,2.8017,0.0889,1.0913,0.7591,0.2611,26.1075,28.2574,0.2461,0.6569,0.7591,0.9444,0.9087,0.8582
HgsoMlp-0-run_2-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,182.9353,0.0915,0.00042462,182.9752,0.7611,17.297598982240103,1.723,7.9845,2.8257,0.0705,1.0177,0.755,0.2529,25.2892,24.9365,0.2365,0.6067,0.755,0.9279,0.8782,0.8149
HgsoMlp-0-run_3-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,182.2283,0.0911,0.00051999,182.2521,0.7876,16.238418100128698,1.8364,7.1517,2.6743,0.123,1.2619,0.7805,0.3018,30.184,32.8758,0.278,0.6466,0.7805,0.937,0.894,0.8377
HgsoMlp-0-run_4-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,183.2432,0.0916,0.00050378,183.2831,0.7939,13.905008460994164,1.5899,6.7215,2.5926,0.0523,0.9198,0.7937,0.2249,22.4929,21.5762,0.2147,0.5598,0.7937,0.9406,0.8986,0.8452
HgsoMlp-0-run_5-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,181.4062,0.0907,0.01655769,181.4785,0.7612,15.819175998617485,1.8996,7.8599,2.8035,0.1089,1.3113,0.7588,0.3065,30.6505,32.1152,0.2835,0.6688,0.7588,0.9331,0.8812,0.8222
HgsoMlp-0-run_6-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,186.3997,0.0932,0.00045824,186.4412,0.7659,16.426490846611863,1.7901,7.7582,2.7853,0.0638,1.1755,0.7619,0.2707,27.0694,24.5923,0.2542,0.6303,0.7619,0.9326,0.8822,0.8227
HgsoMlp-0-run_7-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,181.5933,0.0908,0.00055933,181.6513,0.7845,13.974466844318027,1.8669,7.2436,2.6914,0.0821,1.3598,0.7777,0.3181,31.8084,27.9052,0.2876,0.6573,0.7777,0.939,0.8959,0.8413
HgsoMlp-0-run_8-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,158.6814,0.0793,0.00054145,158.7072,0.7916,15.213942085977536,1.7728,6.7922,2.6062,0.0825,1.2885,0.7916,0.2747,27.4706,27.7764,0.2576,0.6242,0.7916,0.9445,0.9032,0.8531
HgsoMlp-0-run_9-hs_9True-ac_eluelu-epoch_2000-n_clusters_2-pop_size_50,118.0002,0.059,0.00046611,118.0248,0.8135,13.853962218933116,1.7254,6.2653,2.503,0.084,1.2502,0.8077,0.2765,27.6491,29.2648,0.2604,0.6075,0.8077,0.9468,0.9063,0.8581
