model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
EoMlp-run_0-hs_7True-ac_eluelu-epoch_1000-pop_size_50,67.8802,0.0679,0.00060368,67.9948,0.2397,239.65969992893022,8.8575,301.3624,17.3598,0.9468,4.9616,0.2397,2.1584,215.8363,86.1334,0.8041,0.8972
EoMlp-run_1-hs_7True-ac_eluelu-epoch_1000-pop_size_50,68.0614,0.0681,0.00049019,68.1184,0.239,240.09476448592974,8.8613,301.6724,17.3687,0.9447,5.0011,0.2389,2.1588,215.8836,85.9883,0.8034,0.8976
EoMlp-run_2-hs_7True-ac_eluelu-epoch_1000-pop_size_50,69.056,0.0691,0.00047207,69.1093,0.2088,238.14015989704507,9.0638,313.6554,17.7103,0.9755,4.8445,0.2087,2.2156,221.5641,87.3983,0.8131,0.9181
EoMlp-run_3-hs_7True-ac_eluelu-epoch_1000-pop_size_50,71.8953,0.0719,0.00047636,71.9475,0.2402,239.69537924512986,8.8592,301.1742,17.3544,0.9478,4.9388,0.2402,2.1639,216.3903,86.2407,0.8053,0.8974
EoMlp-run_4-hs_7True-ac_eluelu-epoch_1000-pop_size_50,69.3842,0.0694,0.00045466,69.4379,0.2394,240.11280753582633,8.8656,301.5153,17.3642,0.9445,5.0397,0.2393,2.1606,216.0615,86.0277,0.8041,0.8981
EoMlp-run_5-hs_7True-ac_eluelu-epoch_1000-pop_size_50,69.8475,0.0698,0.00049734,69.9023,0.2425,239.78177991703413,8.8698,300.2823,17.3287,0.9507,4.986,0.2424,2.1667,216.6668,86.433,0.8049,0.8985
EoMlp-run_6-hs_7True-ac_eluelu-epoch_1000-pop_size_50,68.8285,0.0688,0.00054216,68.8857,0.2254,241.54735472509665,8.8985,307.0359,17.5224,0.9755,5.2019,0.2254,2.285,228.4966,87.874,0.8218,0.9014
EoMlp-run_7-hs_7True-ac_eluelu-epoch_1000-pop_size_50,67.7341,0.0677,0.00080729,67.7895,0.2412,239.99849830890182,8.8815,300.7849,17.3432,0.9523,5.0314,0.2412,2.175,217.4974,86.2489,0.8049,0.8997
EoMlp-run_8-hs_7True-ac_eluelu-epoch_1000-pop_size_50,71.721,0.0717,0.00084925,71.8131,0.236,239.7698976697501,8.899,302.8317,17.4021,0.9547,5.073,0.236,2.1815,218.153,86.4602,0.8066,0.9014
EoMlp-run_9-hs_7True-ac_eluelu-epoch_1000-pop_size_50,70.5927,0.0706,0.00057888,70.6451,0.2409,239.6566648618692,8.8608,300.8914,17.3462,0.949,4.9511,0.2409,2.1678,216.7814,86.2386,0.8053,0.8976
