model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
WdoMlp-run_0-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,69.7989,0.0698,0.00058222,69.9209,0.2028,241.4695958259499,9.0645,316.014,17.7768,0.9946,5.4053,0.2028,2.2655,226.5466,86.3506,0.7967,0.9182
WdoMlp-run_1-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,68.0984,0.0681,0.00056577,68.1532,0.2368,243.25643529410812,9.5696,304.6071,17.453,1.1851,6.9495,0.2315,2.9417,294.1684,93.0287,0.8704,0.9694
WdoMlp-run_2-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,66.686,0.0667,0.00053263,66.7395,0.2294,242.5200686527049,8.9336,305.4527,17.4772,0.9837,5.3746,0.2294,2.3088,230.881,87.7524,0.8181,0.9049
WdoMlp-run_3-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,73.6369,0.0736,0.00054479,73.694,0.2175,242.8588229351435,8.9566,310.2151,17.6129,1.0119,5.6969,0.2174,2.394,239.3988,89.4206,0.8338,0.9073
WdoMlp-run_4-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,69.3222,0.0693,0.00054288,69.3774,0.2015,241.21708515988595,9.3803,316.922,17.8023,1.1168,6.3651,0.2005,2.6888,268.88,91.933,0.8595,0.9502
WdoMlp-run_5-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,70.0385,0.07,0.00084233,70.0968,0.2266,244.63449507201582,8.4498,309.2215,17.5847,0.893,4.7591,0.2199,1.972,197.2028,85.9204,0.7892,0.8559
WdoMlp-run_6-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,70.379,0.0704,0.00050497,70.4354,0.1844,241.15203151206518,9.6075,323.9347,17.9982,1.1644,6.8684,0.1828,2.8406,284.0629,93.2428,0.8697,0.9732
WdoMlp-run_7-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,72.8573,0.0729,0.00057292,72.9153,0.242,243.25800421883,8.6945,300.5889,17.3375,0.9428,5.009,0.2417,2.1749,217.4868,86.8169,0.8083,0.8807
WdoMlp-run_8-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,71.2237,0.0712,0.00062418,71.2792,0.2246,240.46382163298082,9.2696,308.0119,17.5503,1.0648,5.8911,0.2229,2.5635,256.3483,89.9573,0.8433,0.939
WdoMlp-run_9-hs_7True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,70.0268,0.07,0.00072527,70.0768,0.2344,241.81607587757867,9.0773,303.7496,17.4284,1.0383,5.6589,0.2337,2.4899,248.994,89.6293,0.8406,0.9195
