y_true,y_pred,y_true_scaled,y_pred_scaled,,,,,
-0.171757844,-0.073732825,-0.485597172,-0.2544846,,0.842183088,0.928919845,,-0.102990381
-0.247130623,-0.079062188,-0.574767475,-0.27939665,,0.781038665,0.923982462,,-0.183017568
-0.244757636,-0.083370697,-0.572363069,-0.29670054,,0.782894261,0.920010039,,-0.175139589
-0.293833748,-0.083350664,-0.618482203,-0.29662466,,0.745400405,0.92002847,,-0.234274174
-0.156187516,-0.091765946,-0.462506366,-0.32558602,,0.855398774,0.912318657,,-0.066541927
-0.085496586,-0.080307787,-0.304541264,-0.2846173,,0.918056277,0.922832267,,-0.005202284
-0.120493542,-0.076203219,-0.398414036,-0.2666126,,0.886482812,0.926627879,,-0.045285781
-0.211960387,-0.076182013,-0.536831695,-0.2665131,,0.808996744,0.926647529,,-0.145428009
-0.185571273,-0.080538491,-0.504387366,-0.28556347,,0.830629632,0.922619391,,-0.110747023
-0.291819657,-0.08010772,-0.616722092,-0.28379166,,0.746903223,0.923016913,,-0.235791847
-0.132994146,-0.088763414,-0.42310316,-0.3158568,,0.875470217,0.915062039,,-0.045223494
-0.499364263,-0.078698139,-0.761805767,-0.2778334,,0.606916376,0.924318898,,-0.522975708
-0.359097388,-0.130984628,-0.670802927,-0.4193278,,0.698306341,0.877231259,,-0.256226969
0.005163359,-0.108930433,0.396670592,-0.37248063,,1.005176712,0.896792803,,0.107825727
0.021696496,-0.066153555,0.428990396,-0.2072488,,1.021933576,0.935987128,,0.084101795
-0.067537391,-0.060340064,-0.217475274,-0.14562589,,0.934692771,0.941444328,,-0.00722329
-0.150673365,-0.067443369,-0.453749049,-0.21681058,,0.860128601,0.934780657,,-0.086791738
-0.283289019,-0.069315019,-0.60915338,-0.22934425,,0.753302038,0.933032711,,-0.238590451
-0.201064368,-0.077458199,-0.523920779,-0.27237236,,0.817859786,0.925465709,,-0.131570136
-0.104238492,-0.078558413,-0.360848568,-0.2772287,,0.901010388,0.924448059,,-0.026012653
-0.187326589,-0.076012354,-0.506676841,-0.26571453,,0.829172893,0.926804757,,-0.117746087
0.023153741,-0.079078497,0.431613787,-0.27946627,,1.02342387,0.923967393,,0.097180142
-0.238525485,-0.063148208,-0.565950258,-0.1806603,,0.787788611,0.938804325,,-0.191695732
-0.293930305,-0.070735773,-0.618566332,-0.23801595,,0.745328435,0.931708042,,-0.250063728
-0.134508133,-0.086754074,-0.425903669,-0.3089953,,0.874145769,0.916902558,,-0.048912653
-0.1983151,-0.075790655,-0.520560674,-0.2646637,,0.820111395,0.927010252,,-0.130346751
-0.032573254,-0.077472875,0.291143076,-0.2724383,,0.967951541,0.925452127,,0.043906551
-0.158307754,-0.069077612,-0.465786949,-0.22782975,,0.853587047,0.933254246,,-0.093332249
0.021852489,-0.071221236,0.429272755,-0.24083877,,1.022093003,0.931255842,,0.088873675
-0.16484486,-0.061296936,-0.47562145,-0.15933508,,0.848025257,0.940543917,,-0.109098944
