model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
EoMlp-1-run_0-hs_4True-ac_eluelu-epoch_2000-pop_size_100,246.2359,0.1231,0.00044227,246.2772,0.5557,16.484314418381388,2.5092,14.5883,3.8195,0.1432,1.5324,0.5531,0.3842,38.4216,35.5968,0.3417,0.8815,0.5531,0.8604,0.7765,0.6681
EoMlp-1-run_1-hs_4True-ac_eluelu-epoch_2000-pop_size_100,248.5098,0.1243,0.00042796,248.533,0.5752,13.44335637333134,2.8897,14.7246,3.8373,0.2415,2.1263,0.5489,0.5072,50.7201,44.4802,0.4164,1.0151,0.5489,0.8934,0.8568,0.7655
EoMlp-1-run_2-hs_4True-ac_eluelu-epoch_2000-pop_size_100,251.5144,0.1258,0.00060034,251.5393,0.5829,14.15338674963752,2.7926,14.3908,3.7935,0.1929,2.1051,0.5591,0.4934,49.3389,41.1139,0.4019,0.981,0.5591,0.8877,0.8302,0.737
EoMlp-1-run_3-hs_4True-ac_eluelu-epoch_2000-pop_size_100,252.5376,0.1263,0.00040746,252.5611,0.6258,13.680682507665946,2.5307,12.5885,3.548,0.1635,1.8781,0.6144,0.4156,41.5554,37.4479,0.3544,0.889,0.6144,0.9072,0.8559,0.7765
EoMlp-1-run_4-hs_4True-ac_eluelu-epoch_2000-pop_size_100,247.8854,0.1239,0.0007863,247.9417,0.7204,10.97224348748269,2.2522,9.4329,3.0713,0.1406,1.7212,0.711,0.4074,40.7445,33.591,0.3351,0.7912,0.711,0.921,0.887,0.8169
EoMlp-1-run_5-hs_4True-ac_eluelu-epoch_2000-pop_size_100,242.7654,0.1214,0.00033998,242.8246,0.5882,13.648897135823443,2.7812,14.5297,3.8118,0.202,1.9974,0.5549,0.5033,50.3292,39.8701,0.3954,0.9771,0.5549,0.8835,0.8362,0.7388
EoMlp-1-run_6-hs_4True-ac_eluelu-epoch_2000-pop_size_100,255.5882,0.1278,0.00038171,255.6136,0.6183,12.795025040310449,2.722,13.2268,3.6369,0.177,1.9329,0.5948,0.4945,49.4541,40.5034,0.4074,0.9562,0.5948,0.8929,0.8361,0.7466
EoMlp-1-run_7-hs_4True-ac_eluelu-epoch_2000-pop_size_100,253.5188,0.1268,0.00049925,253.5432,0.5784,12.702653315320937,2.9354,14.8404,3.8523,0.2364,2.1803,0.5454,0.5178,51.7841,44.8012,0.4266,1.0312,0.5454,0.8928,0.8555,0.7638
EoMlp-1-run_8-hs_4True-ac_eluelu-epoch_2000-pop_size_100,253.2713,0.1266,0.00041437,253.3124,0.5395,17.68247471937628,2.993,16.2193,4.0273,0.243,2.2492,0.5031,0.5133,51.3276,44.923,0.4245,1.0514,0.5031,0.8873,0.8451,0.7499
EoMlp-1-run_9-hs_4True-ac_eluelu-epoch_2000-pop_size_100,249.6658,0.1248,0.00055099,249.7053,0.622,12.616329783137452,2.6875,13.0279,3.6094,0.1708,1.9068,0.6009,0.4818,48.1819,39.6771,0.3993,0.9441,0.6009,0.8934,0.8351,0.7461
