model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
WoaMlp-2-run_0-hs_4True-ac_eluelu-epoch_2000-pop_size_100,260.953,0.1305,0.00083256,261.0029,0.6243,13.671684103408577,2.7876,13.3731,3.6569,0.1842,2.1048,0.5883,0.5266,52.6568,40.8896,0.4204,0.985,0.5883,0.8866,0.8223,0.7291
WoaMlp-2-run_1-hs_4True-ac_eluelu-epoch_2000-pop_size_100,258.9687,0.1295,0.00039649,259.0043,0.644,13.488400080929754,2.7861,12.9493,3.5985,0.1785,2.2125,0.6014,0.525,52.5039,40.5557,0.4231,0.9844,0.6014,0.8894,0.831,0.7391
WoaMlp-2-run_2-hs_4True-ac_eluelu-epoch_2000-pop_size_100,266.5311,0.1333,0.00040817,266.5561,0.535,16.520228796748587,3.0039,15.8776,3.9847,0.2516,2.4283,0.5112,0.5561,55.6084,47.3755,0.4424,1.0614,0.5112,0.8731,0.7986,0.6973
WoaMlp-2-run_3-hs_4True-ac_eluelu-epoch_2000-pop_size_100,260.8301,0.1304,0.00035191,260.8719,0.653,11.545942602956407,2.6423,12.4531,3.5289,0.1499,1.994,0.6166,0.4892,48.9211,37.5272,0.407,0.9336,0.6166,0.8877,0.8269,0.734
WoaMlp-2-run_4-hs_4True-ac_eluelu-epoch_2000-pop_size_100,256.3285,0.1282,0.00047779,256.3533,0.5785,15.573080047530386,2.8556,14.0536,3.7488,0.1937,2.3576,0.5674,0.5002,50.0195,43.618,0.4196,1.009,0.5674,0.886,0.8111,0.7186
WoaMlp-2-run_5-hs_4True-ac_eluelu-epoch_2000-pop_size_100,262.0779,0.131,0.00053716,262.1362,0.608,14.492806322545164,2.7603,13.5789,3.685,0.1729,2.0156,0.582,0.5075,50.7531,40.0114,0.4149,0.9753,0.582,0.881,0.8096,0.7133
WoaMlp-2-run_6-hs_4True-ac_eluelu-epoch_2000-pop_size_100,261.0521,0.1305,0.00046539,261.1053,0.6856,12.145053206359325,2.7803,12.3257,3.5108,0.1816,2.2965,0.6206,0.5574,55.736,41.1157,0.4451,0.9824,0.6206,0.8969,0.8543,0.7662
WoaMlp-2-run_7-hs_4True-ac_eluelu-epoch_2000-pop_size_100,262.1327,0.1311,0.00038433,262.1726,0.6642,11.806053144310091,2.6968,12.449,3.5283,0.1511,2.0247,0.6168,0.4969,49.689,38.0782,0.4156,0.9529,0.6168,0.8893,0.8382,0.7454
WoaMlp-2-run_8-hs_4True-ac_eluelu-epoch_2000-pop_size_100,259.2092,0.1296,0.00043893,259.2332,0.6771,13.399003374458058,2.3809,10.712,3.2729,0.141,1.6368,0.6702,0.3927,39.266,35.1755,0.3457,0.8413,0.6702,0.9128,0.859,0.7841
WoaMlp-2-run_9-hs_4True-ac_eluelu-epoch_2000-pop_size_100,257.967,0.129,0.00038695,257.9924,0.6128,15.274366298069118,3.0525,15.3567,3.9188,0.1971,2.2975,0.5273,0.5757,57.565,43.2525,0.463,1.0786,0.5273,0.8795,0.8355,0.7348
