model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",91.3661,0.0914,0.00056434,91.4242,0.2726,0.0017,0.2693,0.0291,0.0022,0.0469,inf,109.6255,0.2726,1.5292,0.2693,7.8952,161.6451,12.714,inf,109.6255
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",92.2093,0.0922,0.00056505,92.2705,0.2371,0.0018,0.2337,0.0293,0.0023,0.048,inf,110.4005,0.2371,1.4595,0.2337,7.9547,169.5273,13.0203,inf,110.4005
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",89.8377,0.0898,0.00046206,89.8966,0.2821,0.0017,0.2785,0.0289,0.0022,0.0466,inf,109.4546,0.2821,1.4798,0.2785,7.849,159.6102,12.6337,inf,109.4546
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",93.3937,0.0934,0.00048089,93.4517,0.2582,0.0017,0.2544,0.029,0.0022,0.0473,inf,109.3606,0.2582,1.4411,0.2544,7.8811,164.9318,12.8426,inf,109.3606
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",91.514,0.0915,0.00050211,91.5715,0.2753,0.0017,0.2722,0.029,0.0022,0.0468,inf,109.7161,0.2753,1.5216,0.2722,7.8771,161.0021,12.6887,inf,109.7161
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",90.6142,0.0906,0.00047827,90.6765,0.2609,0.0017,0.2579,0.029,0.0022,0.0472,inf,109.3504,0.2609,1.4442,0.2579,7.8639,164.1575,12.8124,inf,109.3504
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",92.4769,0.0925,0.00044203,92.5392,0.2585,0.0018,0.255,0.0289,0.0022,0.0473,inf,109.2289,0.2585,1.4136,0.255,7.8527,164.7974,12.8373,inf,109.2289
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",118.7432,0.1187,0.0006249,118.8013,0.2339,0.0018,0.229,0.0294,0.0023,0.0481,inf,109.7145,0.2339,1.5035,0.229,7.9822,170.5662,13.0601,inf,109.7145
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",144.4037,0.1444,0.00073266,144.4676,0.2776,0.0017,0.2745,0.0288,0.0022,0.0467,inf,109.3392,0.2776,1.4503,0.2745,7.8208,160.4862,12.6683,inf,109.3392
"WVO_MLP-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-wep_minmax_(1.0, 0.2)",143.2757,0.1433,0.00064254,143.3676,0.2825,0.0017,0.2798,0.0287,0.0022,0.0465,inf,109.2906,0.2825,1.4474,0.2798,7.7996,159.3171,12.6221,inf,109.2906
