model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2630.3866,2.6304,0.01491046,2630.6812,0.2541,0.0018,0.2506,0.0292,0.0023,0.0474,inf,109.4925,0.2541,1.4898,0.2506,7.9342,165.7889,12.8759,inf,109.4925
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2283.0516,2.2831,0.01877522,2283.2407,0.2682,0.0017,0.2653,0.0289,0.0022,0.047,inf,109.401,0.2682,1.4561,0.2653,7.8558,162.5314,12.7488,inf,109.401
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2637.9079,2.6379,0.01779318,2638.2017,0.2747,0.0017,0.2711,0.0289,0.0022,0.0468,inf,109.4386,0.2747,1.4648,0.2711,7.8558,161.2496,12.6984,inf,109.4386
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2647.6362,2.6476,0.01733017,2647.9706,0.2698,0.0017,0.2667,0.0289,0.0022,0.0469,inf,109.4089,0.2698,1.4559,0.2667,7.8531,162.2221,12.7366,inf,109.4089
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2662.7446,2.6627,0.01770329,2663.1169,0.2686,0.0017,0.2657,0.0291,0.0022,0.047,inf,109.5497,0.2686,1.4797,0.2657,7.8883,162.4489,12.7455,inf,109.5497
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2676.0907,2.6761,0.01855135,2676.5066,0.2535,0.0018,0.2506,0.0289,0.0023,0.0474,inf,109.2886,0.2535,1.4298,0.2506,7.846,165.7799,12.8756,inf,109.2886
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2685.7359,2.6857,0.01749277,2686.1923,0.2776,0.0017,0.2747,0.0287,0.0022,0.0467,inf,109.2141,0.2776,1.4277,0.2747,7.7951,160.4564,12.6671,inf,109.2141
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2693.3474,2.6933,0.01686239,2693.8543,0.2743,0.0017,0.2713,0.0289,0.0022,0.0468,inf,109.2938,0.2743,1.4404,0.2713,7.8315,161.2034,12.6966,inf,109.2938
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2718.6834,2.7187,0.01834846,2719.2293,0.2769,0.0017,0.274,0.0287,0.0022,0.0467,inf,109.1271,0.2769,1.4254,0.274,7.7884,160.6125,12.6733,inf,109.1271
"PSO_LSTM-hs_([15], True)-ac_('elu', 'elu')-do_(0.2,)--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",2727.5772,2.7276,0.01871514,2728.2361,0.271,0.0017,0.2678,0.0288,0.0022,0.0469,inf,109.2659,0.271,1.4168,0.2678,7.8176,161.9847,12.7273,inf,109.2659
