model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
EoMlp-run_0-hs_7True-ac_eluelu-epoch_1000-pop_size_50,91.4056,0.0914,0.00061178,91.4927,0.2769,0.0017,0.2738,0.0291,0.0022,0.0467,inf,109.7363,0.2769,1.5468,0.2738,7.8864,160.6544,12.675,inf,109.7363
EoMlp-run_1-hs_7True-ac_eluelu-epoch_1000-pop_size_50,89.087,0.0891,0.00046921,89.2088,0.2493,0.0018,0.2439,0.0299,0.0023,0.0477,inf,110.3618,0.2493,1.6442,0.2439,8.1222,167.2505,12.9325,inf,110.3618
EoMlp-run_2-hs_7True-ac_eluelu-epoch_1000-pop_size_50,87.3639,0.0874,0.00044465,87.4209,0.2655,0.0017,0.2619,0.0291,0.0022,0.0471,inf,109.5327,0.2655,1.467,0.2619,7.8905,163.2703,12.7777,inf,109.5327
EoMlp-run_3-hs_7True-ac_eluelu-epoch_1000-pop_size_50,88.7562,0.0888,0.00048614,88.8573,0.2696,0.0017,0.2662,0.0289,0.0022,0.047,inf,109.3787,0.2696,1.4445,0.2662,7.8421,162.3371,12.7412,inf,109.3787
EoMlp-run_4-hs_7True-ac_eluelu-epoch_1000-pop_size_50,90.6205,0.0906,0.00051522,90.6844,0.2688,0.0017,0.2658,0.0288,0.0022,0.047,inf,109.2773,0.2688,1.4282,0.2658,7.8159,162.4261,12.7447,inf,109.2773
EoMlp-run_5-hs_7True-ac_eluelu-epoch_1000-pop_size_50,91.749,0.0917,0.00067282,91.8721,0.2771,0.0017,0.2739,0.0291,0.0022,0.0467,inf,109.7375,0.2771,1.5464,0.2739,7.8881,160.6256,12.6738,inf,109.7375
EoMlp-run_6-hs_7True-ac_eluelu-epoch_1000-pop_size_50,88.5793,0.0886,0.00053859,88.641,0.2672,0.0017,0.264,0.0289,0.0022,0.047,inf,109.4138,0.2672,1.4469,0.264,7.844,162.8145,12.7599,inf,109.4138
EoMlp-run_7-hs_7True-ac_eluelu-epoch_1000-pop_size_50,89.2927,0.0893,0.00045395,89.349,0.2653,0.0017,0.2621,0.0289,0.0022,0.0471,inf,109.2929,0.2653,1.4302,0.2621,7.8419,163.2407,12.7766,inf,109.2929
EoMlp-run_8-hs_7True-ac_eluelu-epoch_1000-pop_size_50,87.7428,0.0877,0.00049472,87.8499,0.2698,0.0017,0.2668,0.0288,0.0022,0.0469,inf,109.3315,0.2698,1.4358,0.2668,7.8229,162.2027,12.7359,inf,109.3315
EoMlp-run_9-hs_7True-ac_eluelu-epoch_1000-pop_size_50,73.9927,0.074,0.00047994,74.0741,0.2593,0.0017,0.2555,0.0291,0.0022,0.0473,inf,109.6505,0.2593,1.4719,0.2555,7.9043,164.6941,12.8333,inf,109.6505
,,,,,,,,,,,,,,,,,,,,
,EV,,,mae,,,rmse,,,,,min,0.2493,1.4282,0.2439,7.8159,160.6256,12.6738,0,109.2773
best,mean,std,best,mean,std,best,mean,std,,,,max,0.2771,1.6442,0.2739,8.1222,167.2505,12.9325,0,110.3618
0.267,0.008,0.03,7.886,0.089,0.011,12.765,0.075,0.006,,,,mean,0.26688,1.48619,0.26339,7.88583,162.9516,12.76506,#DIV/0!,109.5713
,,,,,,,,,,,,std,0.008134126,0.070833976,0.008759306,0.088619976,1.932839245,0.075487853,#DIV/0!,0.328438714
,,,,,,,,,,,,cv,0.030478588,0.047661454,0.033256032,0.011237876,0.011861432,0.005913631,#DIV/0!,0.002997489
